ds,yhat
2025-06-30,70765.3857699988
2025-07-31,58441.52504514392
2025-08-31,52961.56723040283
2025-09-30,67460.96844439286
2025-10-31,61054.45950378293
2025-11-30,68591.6726476592
2025-12-31,82473.95817251512
2026-01-31,41899.51909261664
2026-02-28,42518.40666056881
2026-03-31,61571.71131725025
2026-04-30,42722.75459986384
2026-05-31,36728.14230963164
2026-06-30,52528.95103854717
2026-07-31,49366.473270149385
2026-08-31,56226.53144302091
2026-09-30,66117.47280968618
2026-10-31,49710.16823046649
2026-11-30,64493.06587127379
2026-12-31,70098.13313773948
